date,open,high,low,close,volume
4/29/2013,134.4440002,147.4880066,134,144.5399933,0
4/30/2013,144,146.9299927,134.0500031,139,0
5/1/2013,139,139.8899994,107.7200012,116.9899979,0
5/2/2013,116.3799973,125.5999985,92.2818985,105.2099991,0
5/3/2013,106.25,108.1279984,79.09999847,97.75,0
5/4/2013,98.09999847,115,92.5,112.5,0
5/5/2013,112.9000015,118.8000031,107.1429977,115.9100037,0
5/6/2013,115.9800034,124.663002,106.6399994,112.3000031,0
5/7/2013,112.25,113.4440002,97.69999695,111.5,0
5/8/2013,109.5999985,115.7799988,109.5999985,113.5660019,0
5/9/2013,113.1999969,113.4599991,109.2600021,112.6699982,0
5/10/2013,112.7990036,122,111.5510025,117.1999969,0
5/11/2013,117.6999969,118.6790009,113.0100021,115.2429962,0
5/12/2013,115.6399994,117.4489975,113.4349976,115,0
5/13/2013,114.8199997,118.6989975,114.5,117.9800034,0
5/14/2013,117.9800034,119.8000031,110.25,111.5,0
5/15/2013,111.4000015,115.8099976,103.5,114.2200012,0
5/16/2013,114.2200012,118.7600021,112.1999969,118.7600021,0
5/17/2013,118.2099991,125.3000031,116.5709991,123.0149994,0
5/18/2013,123.5,125.25,122.3000031,123.4980011,0
5/19/2013,123.2109985,124.5,119.5709991,121.9899979,0
5/20/2013,122.5,123.6210022,120.1200027,122,0
5/21/2013,122.0199966,123,121.2099991,122.8799973,0
5/22/2013,122.8899994,124.0009995,122,123.8889999,0
5/23/2013,123.8000031,126.9339981,123.0999985,126.6999969,0
5/24/2013,126.3000031,133.8500061,125.7190018,133.1999969,0
5/25/2013,133.1000061,133.2189941,128.8999939,131.9799957,0
5/26/2013,131.9859924,136,130.6150055,133.4799957,0
5/27/2013,133.5,135.4649963,124.6999969,129.7449951,0
5/28/2013,129.7700043,130.5800018,125.5999985,129,0
5/29/2013,129,132.5899963,127.6620026,132.3000031,0
5/30/2013,132.25,132.25,127,128.798996,0
5/31/2013,128.798996,129.8999939,126.4000015,129,0
6/1/2013,128.8150024,129.7799988,127.1989975,129.3000031,0
6/2/2013,129.3000031,129.3999939,115.0500031,122.2919998,0
6/3/2013,122.5,122.5,116,122.2220001,0
6/4/2013,120.7369995,123.8399963,119.0999985,121.4199982,0
6/5/2013,121.4000015,123.4690018,119.8990021,121.6500015,0
6/6/2013,121.9000015,123.0999985,117.25,118,0
6/7/2013,118.9700012,119,106.4199982,111.5,0
6/8/2013,111,111.4150009,107.3000031,108.3000031,0
6/9/2013,107.8919983,108.9899979,88.5,100,0
6/10/2013,100.4369965,110.1009979,95.0019989,106.3499985,0
6/11/2013,106.3499985,109.5999985,104,108.9000015,0
6/12/2013,109,111.7870026,106.7340012,108.1500015,0
6/13/2013,108.776001,110.3000031,100.5299988,104,0
6/14/2013,103.9489975,104.6999969,98,99.97889709,0
6/15/2013,100,103.6999969,98,99.98809814,0
6/16/2013,99.80000305,101.5999985,98.94660187,99.51000214,0
6/17/2013,99.90000153,102.2099991,99,101.6999969,0
6/18/2013,101.9499969,111.1110001,101.0329971,107.4000015,0
6/19/2013,107.0500031,110.2249985,105.7549973,108.25,0
6/20/2013,108.2509995,114.3000031,107.5,110.1500015,0
6/21/2013,111.2900009,114.9899979,107.6849976,109.5,0
6/22/2013,109.5,109.9560013,107.5139999,108.3000031,0
6/23/2013,108.1999969,108.8000031,106.2340012,107.5999985,0
6/24/2013,107.9000015,108.3339996,100.9800034,102.7369995,0
6/25/2013,102.0899963,106.4700012,101.0100021,103.9499969,0
6/26/2013,103.3290024,105.4889984,102.7919998,104,0
6/27/2013,104,104,101.0999985,101.4369965,0
6/28/2013,101.7369995,101.7369995,92.33300018,94.64920044,0
6/29/2013,94.66000366,99.98999786,93,94.9940033,0
6/30/2013,94.99900055,98.12229919,94.22229767,96.61399841,0
7/1/2013,97.51000214,97.66490173,86.29720306,88.05000305,0
